"extension","keyword","description","parms_form","answer_form","n_fields"
"ardwrd3","BBClear","","","BBClear",1
"ardwrd3","BBOut","","","BBOut",1
"ardwrd3","BBType1","Specify a type 1 bark beetle outbreak.  A beetle outbreak of type 1 occurs when the density and diameter of trees of a given species exceed user-defined minimums;  at this point both root disease infected and uninfected trees in the stand may potentially be killed. Examples of type 1 bark beetles are mountain pine beetle (Dendroctonus ponderosae) on lodgepole pine and western pine beetle (D. brevicomis) on ponderosa pine.","","BBType1   !1,10!!3,10!!4,10!!5,10!!6,10!!2,10!",6
"ardwrd3","BBType2","Specify a type 2 bark beetle outbreak.  A beetle outbreak of type 2 occurs when the number of windfallen trees/acre exceeds a user-defined minimum;  at this point both root disease infected and uninfected trees in the stand may potentially be killed. An example of a type 2 bark beetle is the Douglas-fir beetle (D. psuedotsugae) on Douglas-fir.","","BBType2   !1,10!!3,10!!4,10!!5,10!!6,10!!2,10!",6
"ardwrd3","BBType3","Specify a type 3 bark beetle outbreak.  A beetle outbreak of type 3 occurs when the density of trees of a given species with a sufficient proportion of their root systems infected exceeds a user-defined minimum; at this point only trees infected by Annosus may potentially be killed. An example of a type 3 bark beetle is fir engraver (Scolytus ventralis) on grand fir.","","BBType3   !1,10!!3,10!!4,10!!5,10!!6,10!!2,10!!7,10!",7
"ardwrd3","BBType4","Specify a type 4 bark beetle outbreak.  A beetle outbreak of type 4 occurs when the density of trees of a given species with a sufficient proportion of their root systems infected exceeds a user-defined minimum; at this point trees infected or not infected by Annosus may potentially be killed. An example of a type 4 bark beetle is mountain pine beetle on ponderosa pine (Dendroctonus ponderosae).","","BBType4   !1,10!!3,10!!4,10!!5,10!!6,10!!2,10!!7,10!
!8,10!!9,10!!10,10!",10
"ardwrd3","Borate","Simulates the application of borax to stumps (to prevent the colonization of spores) after each harvest.","Borate    !1,10!!2,10!!3,10!","",3
"ardwrd3","DNSCalc","Alters the method by which the outbreak stand density threshold is computed for bark beetle type 1.  The default outbreak density is calculated by determining the trees/acre of all trees that exceed a user-defined minimum DBH. Note: If the SDI method is used to calculate the outbreak density threshod, then field 3 of the BBType1 keyword is no longer used for tree density calculation, but is still used to deternime which trees are subject to beetle attack.","DNSCalc   !1,10!!2,10!!3,10!!4,10!","",4
"ardwrd3","InfColo","Modifies the proportion of root system which is colonized after death. The spread of root disease is assumed to reach a maximum amount within 5 years of tree death.","","InfColo   !1,10!!2,10!!3,10,types!",3
"ardwrd3","InfKill","Modify the proportion of the root system that must be infected before tree death occurs.","","InfKill   !1,10!!2,10!!3,10!",3
"ardwrd3","InfMult","Change the probability of root disease transmission","","InfMult   !1,10!!2,10!!3,10!!4,10!",4
"ardwrd3","InfSims","Change the number of times to simulate the inside-center infection dynamics.  Print results of inside-center simulation.","","InfSims   !1,10!!2,10!        25
Open              25         0         3       132
!3!",3
"ardwrd3","InocLife","Changes the default rate and patterns of decay of the inoculum in the infected roots of dead stumps and trees. An example for a 12 inch DBH infected dead tree (stump) using the default values above for both P-Type and S-Type Annosus root disease is: Annual decay rate of 1.2474 feet (decay = F1 * radius + F2 = 0.02212 * 2.0004 + 1.2032 = 1.2474) Root radius decay stalls at 2.0004 feet (radius = F3 *dbh + F4 = 0.1667 * 12 + 0.0 = 2.0004) Inoculum remains in stalled root radius for 24 years (years = F5 * dbh + F6 = 2.0 * 12 + 0.0 = 24.0) Stump and dead tree infected root system information is stored (and decayed) in five DBH size classes (upper boundaries of: 12"", 24"", 48"",  100"", >100"").","InocLife  !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!!7,10!","",7
"ardwrd3","InocSpan","Specify the minimum life span of inoculum for P and S type Annosus.","InocSpac  !1,10!!2,10!","",2
"ardwrd3","PlotInf","Identifies which sub-plots are inside Annosus root disease centers, and specifies the proportion of the trees in each plot which are infected.","","PlotInf   !1,10,types!
!2,4!!3,5!
!4,4!!5,5!
!6,4!!7,5!
!8,4!!9,5!
!10,4!!11,5!
!12,4!!13,5!
!14,4!!15,5!
!16,4!!17,5!
!18,4!!19,5!
!20,4!!21,5!
!22,4!!23,5!",23
"ardwrd3","PlRead","","","PlRead    !1,10,types!
!2,4!
!3,4!
!4,4!
!5,4!
!6,4!
!7,4!
!8,4!
!9,4!
!10,4!
!11,4!
!12,4!",12
"ardwrd3","PStump","Specify a stump pushing management action","PStump    !1,10!!2,10!!3,10!","",3
"ardwrd3","RRComp","Modify the maximum size of the tree list.  Compression (of the tree list) will occur whenever the tree list length is about to exceed the user defined maximum or automatically at the default size (500).","RRComp    !1,10!","",1
"ardwrd3","RREcho","Instructs the model to print machine readable output of the Root Disease Summary Table.","","Open              24         0         3       132
!1!
RREcho            24",1
"ardwrd3","RRHosts","Change the disease type that a tree species can be host. * * Report current host species disease type assignments, * * by leaving Host tree species selection blank.","RRHosts   !1,10!!2,10!","",2
"ardwrd3","RRInit","Specifies the configuration of root disease centers.","","RRInit    !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!!7,10,types!",7
"ardwrd3","RRJump","Specify the extent to which root disease centers will expand through uninfected trees when the stand is thinned or clearcut.","RRJump    !1,10!!2,10!","",2
"ardwrd3","RRMinK","Change the time-to-death value (time from root infection until death of the tree) below which multipliers entered with the TTDMult keyword will not influence mortality.","RRMinK    !1,10!!2,10!","",2
"ardwrd3","RRType","Type of Annosus root disease being simulated.","","RRType    !1,10,first!!2,10,second!",2
"ardwrd3","RSeed","Change the random number generator seed value.","RSeed     !1,10!","",1
"ardwrd3","SArea","Specify the stand area to be simulated.","RArea     !1,10!","",1
"ardwrd3","SDIRMult","Modifies the calculation of root radius based on SDI.  The root radius is multiplied by a value between 0.5 and 1.5 that is calculate from a function of SDI.","SDIRMult  !1,10!!2,10!","",2
"ardwrd3","SMCOut","Instructs the model to write a table of root disease center spread rates from the Monte Carlo Simulation to a seperate file.","","SMCout            26
Open              26         0         3       132
!1!",1
"ardwrd3","Spore","Changes the spore infection parameters for the simulation of spore dynamics. Uninfected stumps of all tree species can become colonized by P and S type spores after harvesting.  This keyword must be entered once for each Annosus root disease type.","","Spore     !1,10!!2,10!!3,10!!4,10!!5,10!!6,10,types!",6
"ardwrd3","Spread","Specify the type of spread model to be simulated","","Spread    !1,10!!2,10!!3,10!!4,10!!5,10!         0",5
"ardwrd3","STRead","Initialize stumps within root disease areas of the stand.  These stumps will serve as inoculum sources from which infection will spread.","","STRead    !1,10!!2,10,classes!!3,10!!4,10,types!!5,10!",5
"ardwrd3","TDistn","Specify the type of spatial distribution in the stand","TDistn    !1,10!!2,10!!3,10!","",3
"ardwrd3","TimeDead","Changes the time since death for dead infected trees and stumps in the inventory.","TimeDead  !1,10!!2,10!!3,10!!4,10!!5,10!","",5
"ardwrd3","TTDMult","Change the time-to-death (time from root infection to death of the tree) multipliers for root disease mortality.","TTDMult   !1,10!!2,10!!3,10!!4,10!","",4
"ardwrd3","WindThr","Specify a windthrow event.","WindThr   !1,10!!2,10!!3,10!","",3
"armwrd3","BBClear","","","BBClear",1
"armwrd3","BBOut","","","BBOut",1
"armwrd3","BBType1","Specify a type 1 bark beetle outbreak.  A beetle outbreak of type 1 occurs when the density and diameter of trees of a given species exceed user-defined minimums;  at this point both root disease infected and uninfected trees in the stand may potentially be killed. Examples of type 1 bark beetles are mountain pine beetle (Dendroctonus ponderosae) on lodgepole pine and western pine beetle (D. brevicomis) on ponderosa pine.","","BBType1   !1,10!!3,10!!4,10!!5,10!!6,10!!2,10!",6
