"extension","keyword","field","widget","label","default","min","max","options","variant_defaults"
"ardwrd3","BBClear",1,"noInput","Deactivate the default bark beetle events. The model will automatically
schedule bark beetle events for bark beetle types 1, 3, and 4 using the
default values unless BBClear, BBType1, BBType2, BBType3, or BBType4 are 
used.","",NA,NA,"",""
"ardwrd3","BBOut",1,"noInput","Instructs the model to write a table of bark beetle output.","",NA,NA,"",""
"ardwrd3","BBType1",1,"scheduleBox","","",NA,NA,"",""
"ardwrd3","BBType1",2,"listButton","Number of outbreaks","Multiple outbreaks",NA,NA,"Multiple outbreaks|1 outbreak",""
"ardwrd3","BBType1",3,"speciesSelection","Tree species to infest","deleteAll PP",NA,NA,"",""
"ardwrd3","BBType1",4,"sliderBox","Mininimum DBH to infest (inches)","8",0,100,"",""
"ardwrd3","BBType1",5,"sliderBox","Minimum density of eligible trees (trees/acre)","150",0,500,"",""
"ardwrd3","BBType1",6,"sliderBox","Mortality rate applied to all eligible trees if an outbreak \
occurs","0.1",0,1,"",""
"ardwrd3","BBType2",1,"scheduleBox","","",NA,NA,"",""
"ardwrd3","BBType2",2,"listButton","Number of outbreaks","Multiple outbreaks",NA,NA,"Multiple outbreaks|1 outbreak",""
"ardwrd3","BBType2",3,"speciesSelection","Tree species to infest","deleteAll DF",NA,NA,"",""
"ardwrd3","BBType2",4,"sliderBox","Mininimum DBH to infest (inches)","0",0,100,"",""
"ardwrd3","BBType2",5,"sliderBox","Minimum density of windthrown trees (trees/acre)","10",0,100,"",""
"ardwrd3","BBType2",6,"sliderBox","Mortality rate applied to all eligible trees if an outbreak \
occurs","0.88",0,1,"",""
"ardwrd3","BBType3",1,"scheduleBox","","",NA,NA,"",""
"ardwrd3","BBType3",2,"listButton","Number of outbreaks","Multiple outbreaks",NA,NA,"Multiple outbreaks|1 outbreak",""
"ardwrd3","BBType3",3,"speciesSelection","Tree species to infest","",NA,NA,"","bm=bm ;; ci=ci ;; ec=ec ;; em=em ;; ni=ni ;; so=so ;; ws=ws"
"ardwrd3","BBType3",4,"sliderBox","Mininimum DBH to infest (inches)","10",0,100,"",""
"ardwrd3","BBType3",5,"sliderBox","Minimum density of eligible trees (trees/acre)","10",0,100,"",""
"ardwrd3","BBType3",6,"sliderBox","Minimum proportion of roots infected","0.3",0,1,"",""
"ardwrd3","BBType3",7,"sliderBox","Mortality rate applied to all eligible trees if an outbreak \
occurs","0.88",0,1,"",""
"ardwrd3","BBType4",1,"scheduleBox","","",NA,NA,"",""
"ardwrd3","BBType4",2,"listButton","Number of outbreaks","Multiple outbreaks",NA,NA,"Multiple outbreaks|1 outbreak",""
"ardwrd3","BBType4",3,"speciesSelection","Tree species to infest","deleteAll PP",NA,NA,"",""
"ardwrd3","BBType4",4,"sliderBox","Mininimum DBH to infest (inches)","4",0,100,"",""
"ardwrd3","BBType4",5,"sliderBox","Minimum density of eligible trees (trees/acre)","1",0,100,"",""
"ardwrd3","BBType4",6,"sliderBox","Minimum proportion of roots infected","0.4",0,1,"",""
"ardwrd3","BBType4",7,"sliderBox","Mortality rate applied to all eligible trees if an outbreak \
occurs","0.75",0,1,"",""
"ardwrd3","BBType4",8,"sliderBox","Mortality rate applied to all eligible trees with little or \
no infection","0.3",0,1,"",""
"ardwrd3","BBType4",9,"sliderBox","Mortality rate applied to all uninfected trees in the fringe \
area around the center","0.15",0,1,"",""
"ardwrd3","BBType4",10,"sliderBox","Mortality rate applied to all uninfected trees outside the \
center","0.01",0,1,"",""
"ardwrd3","Borate",1,"scheduleBox","","",NA,NA,"",""
"ardwrd3","Borate",2,"sliderBox","Proportion of newly cut stumps to recieve borax treatment","0.95",0,1,"",""
"ardwrd3","Borate",3,"sliderBox","Minimum stump diameter (inches) for borax treatment","12",0,50,"",""
"ardwrd3","DNSCalc",1,"listButton","Method of calculating outbreak density","trees/acre",NA,NA,"trees/acre|SDI",""
"ardwrd3","DNSCalc",2,"listButton","Area used to calculate density","entire stand",NA,NA,"entire stand|area outside root disease patches",""
"ardwrd3","DNSCalc",3,"listButton","Tree type to use to calculate density","only living trees",NA,NA,"only living trees|living trees and standing dead trees",""
"ardwrd3","DNSCalc",4,"sliderBox","Slope of the SDI function","-1.605",-2.5,-0.5,"",""
"ardwrd3","InfColo",1,"speciesSelection","Tree species to modify","deleteAll",NA,NA,"",""
"ardwrd3","InfColo",2,"sliderBox","Maximum proportion of root system colonized after death","0",1,0,"",""
"ardwrd3","InfColo",3,"listButton","Type of Annosus Root Disease","P-Type",NA,NA,"P-Type|S-Type",""
"ardwrd3","InfKill",1,"listButton","Type of Annosus Root Disease","Both P-Type and S-Type",NA,NA,"Both P-Type and S-Type|P-Type|S-Type",""
"ardwrd3","InfKill",2,"speciesSelection","Tree species to change","deleteAll",NA,NA,"",""
"ardwrd3","InfKill",3,"sliderBox","Proportion of the root system infected","0",0,1,"",""
"ardwrd3","InfMult",1,"intNumberBox","Date","0",NA,NA,"",""
"ardwrd3","InfMult",2,"listButton","Type of Annosus Root Disease","Both P-Type and S-Type",NA,NA,"Both P-Type and S-Type|P-Type|S-Type",""
"ardwrd3","InfMult",3,"speciesSelection","Tree species to change","deleteAll",NA,NA,"",""
"ardwrd3","InfMult",4,"sliderBox","Probability of infection","0",0,1,"",""
"ardwrd3","InfSims",1,"intSliderBox","Number of times to simulate inside-center dynamics","1",1,50,"",""
"ardwrd3","InfSims",2,"listButton","Print output","No",NA,NA,"No|Yes",""
"ardwrd3","InfSims",3,"longTextEdit","Name of file","",NA,NA,"",""
"ardwrd3","InocLife",1,"textEdit","","0.02212",NA,NA,"",""
"ardwrd3","InocLife",2,"textEdit","","1.2032",NA,NA,"",""
"ardwrd3","InocLife",3,"textEdit","root radius decay stalls","0.16667",NA,NA,"",""
"ardwrd3","InocLife",4,"textEdit","","0.0",NA,NA,"",""
"ardwrd3","InocLife",5,"textEdit","","2.0",NA,NA,"",""
"ardwrd3","InocLife",6,"textEdit","","0.0",NA,NA,"",""
"ardwrd3","InocLife",7,"listButton","Type of Annosus Root Disease","Both P-Type and S-Type",NA,NA,"Both P-Type and S-Type|P-Type|S-Type",""
"ardwrd3","InocSpan",1,"intNumberBox","Minimum life span for P type Annosus, in years","0 0 100",NA,NA,"",""
"ardwrd3","InocSpan",2,"intNumberBox","Minimum life span for S type Annosus, in years","0 0 100",NA,NA,"",""
"ardwrd3","PlotInf",1,"listButton","Type of Annosus Root Disease","P-Type",NA,NA,"P-Type|S-Type",""
"ardwrd3","PlotInf",2,"intNumberBox","1) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",3,"intNumberBox","1) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",4,"intNumberBox","2) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",5,"intNumberBox","2) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",6,"intNumberBox","3) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",7,"intNumberBox","3) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",8,"intNumberBox","4) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",9,"intNumberBox","4) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",10,"intNumberBox","5) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",11,"intNumberBox","5) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",12,"intNumberBox","6) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",13,"intNumberBox","6) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",14,"intNumberBox","7) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",15,"intNumberBox","7) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",16,"intNumberBox","8) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",17,"intNumberBox","8) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",18,"intNumberBox","9) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",19,"intNumberBox","9) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",20,"intNumberBox","10) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",21,"intNumberBox","10) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlotInf",22,"intNumberBox","11) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlotInf",23,"intNumberBox","11) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"ardwrd3","PlRead",1,"listButton","Type of Annosus Root Disease","P-Type",NA,NA,"P-Type|S-Type",""
"ardwrd3","PlRead",2,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",3,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",4,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",5,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",6,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",7,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",8,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",9,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",10,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",11,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PlRead",12,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"ardwrd3","PStump",1,"scheduleBox","","",NA,NA,"",""
"ardwrd3","PStump",2,"sliderBox","Proportion of stumps to be removed","1",0,1,"",""
"ardwrd3","PStump",3,"sliderBox","Minimum stump diameter (inches) for stump pushing","0",0,100,"",""
"ardwrd3","RRComp",1,"intSliderBox","Number of records to which tree list is compressed","400",1,500,"",""
"ardwrd3","RREcho",1,"longTextEdit","Name of file","",NA,NA,"",""
"ardwrd3","RRHosts",1,"speciesSelection","Host tree species","deleteAll",NA,NA,"",""
"ardwrd3","RRHosts",2,"listButton","Annosus root disease type to host","Neither type",NA,NA,"Neither type|P-Type|S-Type",""
"ardwrd3","RRInit",1,"longListButton","\
Disease center configuration","Disease centers randomly distributed",NA,NA,"Disease centers randomly distributed|Disease centers placed using supplemental records",""
"ardwrd3","RRInit",2,"intNumberBox","Number of root disease centers to be located in the stand","20 1 100",NA,NA,"",""
"ardwrd3","RRInit",3,"intNumberBox","Number of infected trees/arcre in the root disease centers","blank 1 100000",NA,NA,"",""
"ardwrd3","RRInit",4,"intNumberBox","Number of uninfected trees/arcre in the root disease centers","blank 1 100000",NA,NA,"",""
"ardwrd3","RRInit",5,"sliderBox","Average proportion of root infection","0.1",0,1,"",""
