"variant","baf","fpa","brk","tfpa","source"
"acd",40,300,5,0,"acd/grinit.f"
"ak",62.5,300,5,0,"ak/grinit.f"
"bc",40,300,5,0,"canada/bc/grinit.f"
"bm",40,300,5,0,"bm/grinit.f"
"ca",40,300,5,0,"ca/grinit.f"
"ci",40,300,5,0,"ci/grinit.f"
"cr",40,300,5,0,"cr/grinit.f"
"cs",40,300,5,0,"cs/grinit.f"
"ec",40,300,5,0,"ec/grinit.f"
"em",40,300,5,0,"em/grinit.f"
"ie",40,300,5,0,"ie/grinit.f"
"kt",40,300,5,0,"kt/grinit.f"
"ls",40,300,5,0,"ls/grinit.f"
"nc",40,300,5,0,"nc/grinit.f"
"ne",40,300,5,0,"ne/grinit.f"
"oc",40,300,5,0,"oc/grinit.f"
"on",40,300,5,0,"canada/on/grinit.f"
"op",40,300,5,0,"op/grinit.f"
"pn",40,300,5,0,"pn/grinit.f"
"sn",40,300,5,0,"sn/grinit.f"
"so",40,300,5,0,"so/grinit.f"
"tt",40,300,5,0,"tt/grinit.f"
"ut",40,300,5,0,"ut/grinit.f"
"wc",40,300,5,0,"wc/grinit.f"
"ws",40,300,5,0,"ws/grinit.f"
