"variant","index","species_code","fia_code","plants_symbol","common_name"
"acd",1,"BF","012","ABBA","BALSAM FIR"
"acd",2,"TA","071","LALA","TAMARACK"
"acd",3,"WS","094","PIGL","WHITE SPRUCE"
"acd",4,"RS","097","PIRU","RED SPRUCE"
"acd",5,"NS","091","PIAB","NORWAY SPRUCE"
"acd",6,"BS","095","PIMA","BLACK SPRUCE"
"acd",7,"PI","090","PICEA","OTHER SPRUCE SPECIES"
"acd",8,"RN","125","PIRE","RED PINE"
"acd",9,"WP","129","PIST","EASTERN WHITE PINE"
"acd",10,"LP","131","PITA","LOBLOLLY PINE"
"acd",11,"VP","132","PIVI2","VIRGINIA PINE"
"acd",12,"WC","241","THOC2","NORTHERN WHITE CEDAR"
"acd",13,"AW","043","CHTH2","ATLANTIC WHITE CEDAR"
"acd",14,"RC","068","JUVI","EASTERN REDCEDAR"
"acd",15,"OC","057","JUNIP","OTHER CEDAR SPECIES"
"acd",16,"EH","261","TSCA","EASTERN HEMLOCK"
"acd",17,"HM","260","TSUGA","OTHER HEMLOCK SPECIES"
"acd",18,"OP","100","PINUS","OTHER PINE SPECIES"
"acd",19,"JP","105","PIBA2","JACK PINE"
"acd",20,"SP","110","PIEC2","SHORLEAF PINE"
"acd",21,"TM","123","PIPU5","TABLE MOUNTAIN PINE"
"acd",22,"PP","126","PIRI","PITCH PINE"
"acd",23,"PD","128","PISE","POND PINE"
"acd",24,"SC","130","PISY","SCOTCH PINE"
"acd",25,"OS","298","2TE","OTHER SOFTWOOD SPECIES"
"acd",26,"RM","316","ACRU","RED MAPLE"
"acd",27,"SM","318","ACSA3","SUGAR MAPLE"
"acd",28,"BM","314","ACNI5","BLACK MAPLE"
"acd",29,"SV","317","ACSA2","SILVER MAPLE"
"acd",30,"YB","371","BEAL2","YELLOW BIRCH"
"acd",31,"SB","372","BELE","SWEET BIRCH"
"acd",32,"RB","373","BENI","RIVER BIRCH"
"acd",33,"PB","375","BEPA","PAPER BIRCH"
"acd",34,"GB","379","BEPO","GRAY BIRCH"
"acd",35,"HI","400","CARYA","HICKORY SPECIES"
"acd",36,"PH","403","CAGL8","PIGNUT HICKORY"
"acd",37,"SL","405","CALA21","SHELLBARK HICKORY"
"acd",38,"SH","407","CAOV2","SHAGBARK HICKORY"
"acd",39,"MH","409","CAAL27","MOCKERNUT HICKORY"
"acd",40,"AB","531","FAGR","AMERICAN BEECH"
"acd",41,"AS","540","FRAXI","ASH SPECIES"
"acd",42,"WA","541","FRAM2","WHITE ASH"
"acd",43,"BA","543","FRNI","BLACK ASH"
"acd",44,"GA","544","FRPE","GREEN ASH"
"acd",45,"PA","545","FRPR","PUMPKIN ASH"
"acd",46,"YP","621","LITU","YELLOW-POPLAR"
"acd",47,"SU","611","LIST2","SWEETGUM"
"acd",48,"CT","651","MAAC","CUCUMBERTREE"
"acd",49,"QA","746","POTR5","QUAKING ASPEN"
"acd",50,"BP","741","POBA2","BALSAM POPLAR"
"acd",51,"EC","742","PODE3","EASTERN COTTONWOOD"
"acd",52,"BT","743","POGR4","BIGTOOTH ASPEN"
"acd",53,"PY","744","POHE4","SWAMP COTTONWOOD"
"acd",54,"BC","762","PRSE2","BLACK CHERRY"
"acd",55,"WO","802","QUAL","WHITE OAK"
"acd",56,"BR","823","QUMA2","BUR OAK"
"acd",57,"CK","826","QUMU","CHINKAPIN OAK"
"acd",58,"PO","835","QUST","POST OAK"
"acd",59,"OK","800","QUERC","OTHER OAK SPECIES"
"acd",60,"SO","806","QUCO2","SCARLET OAK"
"acd",61,"QI","817","QUIM","SHINGLE OAK"
"acd",62,"WK","827","QUNI","WATER OAK"
"acd",63,"PN","830","QUPA2","PIN OAK"
"acd",64,"CO","832","QUPR2","CHESTNUT OAK"
"acd",65,"SW","804","QUBI","SWAMP WHITE OAK"
"acd",66,"SN","825","QUMI","SWAMP CHESTNUT OAK"
"acd",67,"RO","833","QURU","NORTHERN RED OAK"
"acd",68,"SK","812","QUFA","SOUTHERN RED OAK"
"acd",69,"BO","837","QUVE","BLACK OAK"
"acd",70,"CB","813","QUPA5","CHERRYBARK OAK"
"acd",71,"OH","998","2TD","OTHER HARDWOOD SPECIES"
"acd",72,"BU","330","AESCU","BUCKEYE SPECIES"
"acd",73,"YY","332","AEFL","YELLOW BUCKEYE"
"acd",74,"WR","374","BEOC2","WATER BIRCH"
"acd",75,"HK","462","CEOC","HACKBERRY"
"acd",76,"PS","521","DIVI5","COMMON PERSIMMON"
"acd",77,"HY","591","ILOP","AMERICAN HOLLY"
"acd",78,"BN","601","JUCI","BUTTERNUT"
"acd",79,"WN","602","JUNI","BLACK WALNUT"
"acd",80,"OO","641","MAPO","OSAGE-ORANGE"
"acd",81,"MG","650","MAGNO","MAGNOLIA SPECIES"
"acd",82,"MV","653","MAVI2","SWEETBAY"
"acd",83,"AP","660","MALUS","APPLE SPECIES"
